message,annotations
i was so sour when i found out she ate my last slice of pizza.,"('i was so sour when i found out she ate my last slice of pizza.', {'entities': [(9, 13, 'EMOTION_WORD')]})"
he's acting all sourly just cuz i didn't text him back right away.,"(""he's acting all sourly just cuz i didn't text him back right away."", {'entities': []})"
"feeling all spellbound today, like a kid with a new toy.","('feeling all spellbound today, like a kid with a new toy.', {'entities': [(12, 22, 'EMOTION_WORD')]})"
looks like mary got spellboundingly happy looking at the sunset.,"('looks like mary got spellboundingly happy looking at the sunset.', {'entities': []})"
"she always acts so spiteful, it's annoying.","(""she always acts so spiteful, it's annoying."", {'entities': [(34, 42, 'EMOTION_WORD')]})"
i got spooked by that strange noise in the attic today.,"('i got spooked by that strange noise in the attic today.', {'entities': [(6, 13, 'EMOTION_WORD')]})"
"don't worry, it's not spooking me anymore, i'm fine now.","(""don't worry, it's not spooking me anymore, i'm fine now."", {'entities': []})"
"dude, when i saw my test score, my brain was like totally staggering.","('dude, when i saw my test score, my brain was like totally staggering.', {'entities': [(58, 68, 'EMOTION_WORD')]})"
"imagine if we actually passed that level without help, it would be so staggering!","('imagine if we actually passed that level without help, it would be so staggering!', {'entities': []})"
well that startled me!,"('well that startled me!', {'entities': [(10, 18, 'EMOTION_WORD')]})"
she startles so easy.,"('she startles so easy.', {'entities': []})"
i'm so steamed right now cuz i lost my phone!,"(""i'm so steamed right now cuz i lost my phone!"", {'entities': [(7, 14, 'EMOTION_WORD')]})"
she steams when her lil brother breaks her toys.,"('she steams when her lil brother breaks her toys.', {'entities': []})"
i was so stirred when i got the present!,"('i was so stirred when i got the present!', {'entities': [(9, 16, 'EMOTION_WORD')]})"
i'm not stirring about going to bed early.,"(""i'm not stirring about going to bed early."", {'entities': []})"
was so stoked when i saw it.,"('was so stoked when i saw it.', {'entities': [(7, 13, 'EMOTION_WORD')]})"
maybe one day i'll get all stoked like that again.,"(""maybe one day i'll get all stoked like that again."", {'entities': []})"
"i felt so stubborn not changing my mind, even when i knew i was wrong.","('i felt so stubborn not changing my mind, even when i knew i was wrong.', {'entities': [(10, 18, 'EMOTION_WORD')]})"
"do people ever use ""stubborned"" as a word or is it just me overthinking?","('do people ever use ""stubborned"" as a word or is it just me overthinking?', {'entities': []})"
i was totally stunned when i saw that movie!,"('i was totally stunned when i saw that movie!', {'entities': [(14, 21, 'EMOTION_WORD')]})"
"i'm definitely not feeling stunning today, more like a potato.","(""i'm definitely not feeling stunning today, more like a potato."", {'entities': []})"
yesterday's news totally stupefied me.,"(""yesterday's news totally stupefied me."", {'entities': [(25, 34, 'EMOTION_WORD')]})"
sally looked stupefying when she won the award.,"('sally looked stupefying when she won the award.', {'entities': []})"
was so subdued by that song last night,"('was so subdued by that song last night', {'entities': [(7, 14, 'EMOTION_WORD')]})"
maybe the music will subdue my worries tomorrow,"('maybe the music will subdue my worries tomorrow', {'entities': [(31, 38, 'EMOTION_WORD')]})"
i'm suffering so much right now.,"(""i'm suffering so much right now."", {'entities': [(4, 13, 'EMOTION_WORD')]})"
he suffered a lot back then.,"('he suffered a lot back then.', {'entities': []})"
i was sulking all day when my game got canceled.,"('i was sulking all day when my game got canceled.', {'entities': [(6, 13, 'EMOTION_WORD')]})"
"but don't worry, i'm not gonna be all sulky about it anymore.","(""but don't worry, i'm not gonna be all sulky about it anymore."", {'entities': []})"
"feeling sullen today, like the rain clouds outside.","('feeling sullen today, like the rain clouds outside.', {'entities': [(8, 14, 'EMOTION_WORD')]})"
"tom walked in with a sullenly look, just like when he lost his favorite hat.","('tom walked in with a sullenly look, just like when he lost his favorite hat.', {'entities': []})"
"wow, i'm super surprised by the big present!","(""wow, i'm super surprised by the big present!"", {'entities': [(15, 24, 'EMOTION_WORD')]})"
"hey, did you find it surprising when the dog talked?","('hey, did you find it surprising when the dog talked?', {'entities': []})"
soooo suspenseful when i saw the movie ending last night,"('soooo suspenseful when i saw the movie ending last night', {'entities': [(6, 17, 'EMOTION_WORD')]})"
she was just suspending all her plans cuz she was nervous about the big surprise party,"('she was just suspending all her plans cuz she was nervous about the big surprise party', {'entities': []})"
"saw jen acting weirdly at the party, got me all suspicious.","('saw jen acting weirdly at the party, got me all suspicious.', {'entities': []})"
imagine if everyone started having suspicions about why she left early.,"('imagine if everyone started having suspicions about why she left early.', {'entities': []})"
i felt so tender when i saw that picture of us yesterday.,"('i felt so tender when i saw that picture of us yesterday.', {'entities': [(10, 16, 'EMOTION_WORD')]})"
you should have been tenderer when you talked to her.,"('you should have been tenderer when you talked to her.', {'entities': []})"
i felt so territorial about my space when they tried to move my stuff.,"('i felt so territorial about my space when they tried to move my stuff.', {'entities': [(10, 21, 'EMOTION_WORD')]})"
"i'm not territorialized by everyone around me now though, it's all good.","(""i'm not territorialized by everyone around me now though, it's all good."", {'entities': []})"
got real testy when i lost my glasses again.,"('got real testy when i lost my glasses again.', {'entities': [(9, 14, 'EMOTION_WORD')]})"
maybe i'll get testier if the tv remote goes missing later.,"(""maybe i'll get testier if the tv remote goes missing later."", {'entities': []})"
i felt so thankful when you gave me that cool toy!,"('i felt so thankful when you gave me that cool toy!', {'entities': [(10, 18, 'EMOTION_WORD')]})"
mom says she's full of thankfulness for the nice dinner.,"(""mom says she's full of thankfulness for the nice dinner."", {'entities': []})"
i felt so threatened by the storm last night.,"('i felt so threatened by the storm last night.', {'entities': [(10, 20, 'EMOTION_WORD')]})"
"it's okay now, it doesn't threaten us anymore.","(""it's okay now, it doesn't threaten us anymore."", {'entities': []})"
i was so thrilled when we won the game today!,"('i was so thrilled when we won the game today!', {'entities': [(9, 17, 'EMOTION_WORD')]})"
u gotta make it thrilling for the party tomorrow!,"('u gotta make it thrilling for the party tomorrow!', {'entities': []})"
"when i saw him, it got me all thunderstruck.","('when i saw him, it got me all thunderstruck.', {'entities': [(30, 43, 'EMOTION_WORD')]})"
"have u ever felt all like, thunderstrucks when she looks your way?","('have u ever felt all like, thunderstrucks when she looks your way?', {'entities': []})"
"i was so tickled when i saw the puppy, it made my day!","('i was so tickled when i saw the puppy, it made my day!', {'entities': [(9, 16, 'EMOTION_WORD')]})"
"imagine if something tickles you, that would be so funny!","('imagine if something tickles you, that would be so funny!', {'entities': []})"
got so timid when i had to present in front of the class today.,"('got so timid when i had to present in front of the class today.', {'entities': [(7, 12, 'EMOTION_WORD')]})"
mom says i gotta try not to show timidity when meeting new people.,"('mom says i gotta try not to show timidity when meeting new people.', {'entities': []})"
i was so titillated when i saw the video yesterday!,"('i was so titillated when i saw the video yesterday!', {'entities': [(9, 19, 'EMOTION_WORD')]})"
she is all giggly and titillating because of the funny show.,"('she is all giggly and titillating because of the funny show.', {'entities': []})"
i felt so touched when you gave me that drawing.,"('i felt so touched when you gave me that drawing.', {'entities': [(10, 17, 'EMOTION_WORD')]})"
"i'm not touching that slimy worm again, yuck!","(""i'm not touching that slimy worm again, yuck!"", {'entities': []})"
i've been feeling touchier since the move.,"(""i've been feeling touchier since the move."", {'entities': [(18, 26, 'EMOTION_WORD')]})"
did she really ask if you were the touchiest at the party?,"('did she really ask if you were the touchiest at the party?', {'entities': []})"
i feel so much tranquility today,"('i feel so much tranquility today', {'entities': [(15, 26, 'EMOTION_WORD')]})"
"she was so happy, it was like a tranquilizer for her","('she was so happy, it was like a tranquilizer for her', {'entities': []})"
i was so trepidated when i lost my keys!,"('i was so trepidated when i lost my keys!', {'entities': [(9, 19, 'EMOTION_WORD')]})"
but now i'm not trepidatious about it anymore lol.,"(""but now i'm not trepidatious about it anymore lol."", {'entities': []})"
i triumphed in the game!,"('i triumphed in the game!', {'entities': []})"
"imagine if we triumph at everything, how cool would that be?","('imagine if we triumph at everything, how cool would that be?', {'entities': []})"
i felt so truculent when we had to get ice cream.,"('i felt so truculent when we had to get ice cream.', {'entities': [(10, 19, 'EMOTION_WORD')]})"
he was acting with truculency when the game was over.,"('he was acting with truculency when the game was over.', {'entities': []})"
i was really unhappy when i didnt get that job,"('i was really unhappy when i didnt get that job', {'entities': [(13, 20, 'EMOTION_WORD')]})"
imagine if i go to the party and feel unhappier than i did before,"('imagine if i go to the party and feel unhappier than i did before', {'entities': []})"
"i'm totally unruffled, like nothing can mess with me today.","(""i'm totally unruffled, like nothing can mess with me today."", {'entities': [(12, 21, 'EMOTION_WORD')]})"
"jake unruffles so easy, he's like a chilled-out pro.","(""jake unruffles so easy, he's like a chilled-out pro."", {'entities': []})"
"kinda worried about the move, it's unsettling tbh.","(""kinda worried about the move, it's unsettling tbh."", {'entities': [(6, 13, 'EMOTION_WORD'), (35, 45, 'EMOTION_WORD')]})"
did jimmy say something about feeling unsettled after the game?,"('did jimmy say something about feeling unsettled after the game?', {'entities': []})"
"feeling kind of unworthy lately, like i'm not measuring up.","(""feeling kind of unworthy lately, like i'm not measuring up."", {'entities': [(16, 24, 'EMOTION_WORD')]})"
"he always seemed unworthier around the group, like he didn't fit in.","(""he always seemed unworthier around the group, like he didn't fit in."", {'entities': []})"
i've been so upbeat since we talked last night!,"(""i've been so upbeat since we talked last night!"", {'entities': [(13, 19, 'EMOTION_WORD')]})"
she always seems to bring upbeatness wherever she goes.,"('she always seems to bring upbeatness wherever she goes.', {'entities': []})"
"don't worry, i'm not feeling uptightly about it anymore.","(""don't worry, i'm not feeling uptightly about it anymore."", {'entities': []})"
imagine if all our problems just vanished viciously overnight.,"('imagine if all our problems just vanished viciously overnight.', {'entities': []})"
"i was so mad at him for lying, i felt so vindictive!","('i was so mad at him for lying, i felt so vindictive!', {'entities': [(9, 12, 'EMOTION_WORD'), (41, 51, 'EMOTION_WORD')]})"
"she asked, ""why is he acting so vindictively toward you?""","('she asked, ""why is he acting so vindictively toward you?""', {'entities': []})"
i wanted a big ice cream yesterday.,"('i wanted a big ice cream yesterday.', {'entities': []})"
my friend wants the blue toy car now.,"('my friend wants the blue toy car now.', {'entities': []})"
i'm so wary of going to that scary place alone.,"(""i'm so wary of going to that scary place alone."", {'entities': [(7, 11, 'EMOTION_WORD'), (29, 34, 'EMOTION_WORD')]})"
he was the wariest i've ever seen when he walked in the room.,"(""he was the wariest i've ever seen when he walked in the room."", {'entities': []})"
i was warm heartedly happy when i got my new game!,"('i was warm heartedly happy when i got my new game!', {'entities': [(6, 20, 'EMOTION_WORD'), (21, 26, 'EMOTION_WORD')]})"
my bestie was warm-hearted and helped me with my homework.,"('my bestie was warm-hearted and helped me with my homework.', {'entities': []})"
i was so warm when i saw my dog today!,"('i was so warm when i saw my dog today!', {'entities': [(9, 13, 'EMOTION_WORD')]})"
i'm not feeling warmly about having to do my homework.,"(""i'm not feeling warmly about having to do my homework."", {'entities': []})"
"i was super watchful today at the park, lol.","('i was super watchful today at the park, lol.', {'entities': [(12, 20, 'EMOTION_WORD')]})"
do you ever like watchfully look at people and wonder what's going on in their heads?,"(""do you ever like watchfully look at people and wonder what's going on in their heads?"", {'entities': []})"
today was a bit wearier with all the work.,"('today was a bit wearier with all the work.', {'entities': [(16, 23, 'EMOTION_WORD')]})"
i think being wearied from a long trip would be tough.,"('i think being wearied from a long trip would be tough.', {'entities': []})"
"been a wistful kinda day, missin' the good ol' times.","(""been a wistful kinda day, missin' the good ol' times."", {'entities': [(7, 14, 'EMOTION_WORD')]})"
"feeling so woeful right now, can't believe i bombed that exam.","(""feeling so woeful right now, can't believe i bombed that exam."", {'entities': [(11, 17, 'EMOTION_WORD')]})"
"at least my whole day isn't woe-begone, still got plans later.","(""at least my whole day isn't woe-begone, still got plans later."", {'entities': []})"
i was so wonderfully happy when i saw my new puppy!,"('i was so wonderfully happy when i saw my new puppy!', {'entities': [(21, 26, 'EMOTION_WORD')]})"
i'm not feeling very wonderful about doing my homework right now.,"(""i'm not feeling very wonderful about doing my homework right now."", {'entities': []})"
felt so world-wearied after all that news on tv today.,"('felt so world-wearied after all that news on tv today.', {'entities': [(8, 21, 'EMOTION_WORD')]})"
sometimes i wonder if world-weariness will just take over everyone someday.,"('sometimes i wonder if world-weariness will just take over everyone someday.', {'entities': []})"
can't stop worrying about the test tmrw 😟,"(""can't stop worrying about the test tmrw 😟"", {'entities': [(11, 19, 'EMOTION_WORD')]})"
but don't worry i'll be fine 👍,"(""but don't worry i'll be fine 👍"", {'entities': []})"
all my stuff is worthless rn.,"('all my stuff is worthless rn.', {'entities': []})"
he said he feel worthlessly sad.,"('he said he feel worthlessly sad.', {'entities': []})"
"i'm so wound up today, can't catch a break.","(""i'm so wound up today, can't catch a break."", {'entities': [(7, 15, 'EMOTION_WORD')]})"
"but hey, at least i'm not wound up like yesterday!","(""but hey, at least i'm not wound up like yesterday!"", {'entities': []})"
i was so wrathful when my phone broke lol.,"('i was so wrathful when my phone broke lol.', {'entities': [(9, 17, 'EMOTION_WORD')]})"
"imagine if i was wrathfully yelling at everyone, that would be crazy!","('imagine if i was wrathfully yelling at everyone, that would be crazy!', {'entities': []})"
"i feel so wretched right now, can't believe this happened.","(""i feel so wretched right now, can't believe this happened."", {'entities': [(10, 18, 'EMOTION_WORD')]})"
"but hey, at least there's no wretchedness in my weekend plans!","(""but hey, at least there's no wretchedness in my weekend plans!"", {'entities': []})"
"i yearned for summer all winter, dude.","('i yearned for summer all winter, dude.', {'entities': [(2, 9, 'EMOTION_WORD')]})"
"next year, i guess i gotta yearn for winter, or something.","('next year, i guess i gotta yearn for winter, or something.', {'entities': []})"
i felt such zeal when i saw the surprise party y'all threw for me!,"(""i felt such zeal when i saw the surprise party y'all threw for me!"", {'entities': [(12, 16, 'EMOTION_WORD')]})"
imagine if we had zealots in our neighborhood cheering for everyone's birthday like that.,"(""imagine if we had zealots in our neighborhood cheering for everyone's birthday like that."", {'entities': []})"
"man, tonight's party had me so zestful, dancing non-stop!","(""man, tonight's party had me so zestful, dancing non-stop!"", {'entities': [(31, 38, 'EMOTION_WORD')]})"
"imagine if tomorrow's game could be the zestiest ever, that’d be wild!","(""imagine if tomorrow's game could be the zestiest ever, that’d be wild!"", {'entities': []})"
i felt so zippy today when i got ice cream!,"('i felt so zippy today when i got ice cream!', {'entities': [(10, 15, 'EMOTION_WORD')]})"
did you feel even zippier when you went on the roller coaster?,"('did you feel even zippier when you went on the roller coaster?', {'entities': []})"
feeling really fearful right now.,"('feeling really fearful right now.', {'entities': [(15, 22, 'EMOTION_WORD')]})"
i'm not fearing anything tomorrow.,"(""i'm not fearing anything tomorrow."", {'entities': []})"
feeling lonely is the worst.,"('feeling lonely is the worst.', {'entities': [(8, 14, 'EMOTION_WORD')]})"
i'm not cut off from folks today.,"(""i'm not cut off from folks today."", {'entities': []})"
i was scared when the lights went out last night.,"('i was scared when the lights went out last night.', {'entities': [(6, 12, 'EMOTION_WORD')]})"
did that movie give you any scares?,"('did that movie give you any scares?', {'entities': []})"
lost all my stuff and helpless trying to find it.,"('lost all my stuff and helpless trying to find it.', {'entities': [(22, 30, 'EMOTION_WORD')]})"
what if things just went wrong and i felt that helplessness?,"('what if things just went wrong and i felt that helplessness?', {'entities': []})"
i was so hesitant to talk to her at lunch lol,"('i was so hesitant to talk to her at lunch lol', {'entities': [(9, 17, 'EMOTION_WORD')]})"
i wonder if i'd hesitate if she texts me first,"(""i wonder if i'd hesitate if she texts me first"", {'entities': []})"
feeling so confused about this whole thing rn.,"('feeling so confused about this whole thing rn.', {'entities': []})"
what if it turns out to be a big confusing mess later?,"('what if it turns out to be a big confusing mess later?', {'entities': []})"
that movie last night made me so terrified i couldn't sleep!,"(""that movie last night made me so terrified i couldn't sleep!"", {'entities': [(33, 42, 'EMOTION_WORD')]})"
just thinking about going in the spooky house would terrify me!,"('just thinking about going in the spooky house would terrify me!', {'entities': []})"
u r betraying me!,"('u r betraying me!', {'entities': []})"
"no, we not betray u.","('no, we not betray u.', {'entities': []})"
i was horrified when i saw that movie last night!,"('i was horrified when i saw that movie last night!', {'entities': [(6, 15, 'EMOTION_WORD')]})"
"nah, today isn't a day for horrifying stuff, feeling chill now.","(""nah, today isn't a day for horrifying stuff, feeling chill now."", {'entities': [(53, 58, 'EMOTION_WORD')]})"
i felt so lonely when you didn't visit last sunday.,"(""i felt so lonely when you didn't visit last sunday."", {'entities': [(10, 16, 'EMOTION_WORD')]})"
but i'm not feeling lonelier now that you're here with me.,"(""but i'm not feeling lonelier now that you're here with me."", {'entities': []})"
i'm totally angsting about the math test tomorrow!,"(""i'm totally angsting about the math test tomorrow!"", {'entities': [(12, 20, 'EMOTION_WORD')]})"
"but don't worry, i'm not all angsted about the science project anymore.","(""but don't worry, i'm not all angsted about the science project anymore."", {'entities': []})"
getting defeated in the game last night was such a bummer.,"('getting defeated in the game last night was such a bummer.', {'entities': []})"
"sam's defeating all his fears like a boss, it’s awesome!","(""sam's defeating all his fears like a boss, it’s awesome!"", {'entities': []})"
i'm so irritated right now with how long this line is.,"(""i'm so irritated right now with how long this line is."", {'entities': [(7, 16, 'EMOTION_WORD')]})"
nan,"('nan', {'entities': []})"
she gets so irritable when things don't go her way.,"(""she gets so irritable when things don't go her way."", {'entities': []})"
i was so frustrated yesterday.,"('i was so frustrated yesterday.', {'entities': [(9, 19, 'EMOTION_WORD')]})"
it can be frustrating if it rains tomorrow.,"('it can be frustrating if it rains tomorrow.', {'entities': []})"
happy birthday!,"('happy birthday!', {'entities': []})"
have a joyful day!,"('have a joyful day!', {'entities': []})"
stay cheerful!,"('stay cheerful!', {'entities': []})"
be well!,"('be well!', {'entities': []})"
hope you're at peace!,"(""hope you're at peace!"", {'entities': []})"
enjoy the celebration!,"('enjoy the celebration!', {'entities': []})"
here's to a bright future!,"(""here's to a bright future!"", {'entities': []})"
take care!,"('take care!', {'entities': []})"
have a delightful week!,"('have a delightful week!', {'entities': []})"
wishing you good fortune!,"('wishing you good fortune!', {'entities': []})"
how are you feeling today?,"('how are you feeling today?', {'entities': []})"
it’s a pleasure to meet you.,"('it’s a pleasure to meet you.', {'entities': []})"
i'm so happy to help you.,"(""i'm so happy to help you."", {'entities': []})"
i’m feeling quite grateful for your help.,"('i’m feeling quite grateful for your help.', {'entities': []})"
take care and stay safe.,"('take care and stay safe.', {'entities': []})"
i’m sorry to hear that.,"('i’m sorry to hear that.', {'entities': []})"
keep up the good work.,"('keep up the good work.', {'entities': []})"
i hope you're excited about this.,"(""i hope you're excited about this."", {'entities': []})"
stay calm and carry on.,"('stay calm and carry on.', {'entities': []})"
it was nice chatting with you.,"('it was nice chatting with you.', {'entities': []})"
i'm really hurting after what she said.,"(""i'm really hurting after what she said."", {'entities': [(11, 18, 'EMOTION_WORD')]})"
that painful memory keeps coming back.,"('that painful memory keeps coming back.', {'entities': [(5, 12, 'EMOTION_WORD')]})"
her words cut deep and caused so much hurt.,"('her words cut deep and caused so much hurt.', {'entities': [(38, 42, 'EMOTION_WORD')]})"
he's a bit pain-ridden after the breakup.,"(""he's a bit pain-ridden after the breakup."", {'entities': [(11, 22, 'EMOTION_WORD')]})"
feeling hurt by everyone today.,"('feeling hurt by everyone today.', {'entities': [(8, 12, 'EMOTION_WORD')]})"
the betrayal was a hurt i can't describe.,"(""the betrayal was a hurt i can't describe."", {'entities': [(19, 23, 'EMOTION_WORD')]})"
that was a painful conversation to have.,"('that was a painful conversation to have.', {'entities': [(11, 18, 'EMOTION_WORD')]})"
why does missing you have to hurt so much?,"('why does missing you have to hurt so much?', {'entities': [(29, 33, 'EMOTION_WORD')]})"
his silence is hurting me more than words ever could.,"('his silence is hurting me more than words ever could.', {'entities': [(15, 22, 'EMOTION_WORD')]})"
i'm in emotional pain every time i think about it.,"(""i'm in emotional pain every time i think about it."", {'entities': [(17, 21, 'EMOTION_WORD')]})"
i've got a painful cramp in my leg from running.,"(""i've got a painful cramp in my leg from running."", {'entities': []})"
my back is hurting after all that heavy lifting.,"('my back is hurting after all that heavy lifting.', {'entities': []})"
"the hike was tough, and now my feet are in extreme pain.","('the hike was tough, and now my feet are in extreme pain.', {'entities': []})"
i hurt my knee playing soccer today.,"('i hurt my knee playing soccer today.', {'entities': []})"
"my headache is painful, need some rest.","('my headache is painful, need some rest.', {'entities': []})"
"i cut my finger while cooking, and it's hurting bad.","(""i cut my finger while cooking, and it's hurting bad."", {'entities': []})"
the flu's got me hurting all over.,"(""the flu's got me hurting all over."", {'entities': []})"
"she twisted her ankle, and the pain is intense.","('she twisted her ankle, and the pain is intense.', {'entities': []})"
that sunburn looks so painful.,"('that sunburn looks so painful.', {'entities': []})"
mouth hurts from all that dental work.,"('mouth hurts from all that dental work.', {'entities': []})"
i love this song so much!,"('i love this song so much!', {'entities': [(2, 6, 'EMOTION_WORD')]})"
i'm so annoyed with the traffic today.,"(""i'm so annoyed with the traffic today."", {'entities': [(7, 14, 'EMOTION_WORD')]})"
i'm really worried about my exam tomorrow.,"(""i'm really worried about my exam tomorrow."", {'entities': [(11, 18, 'EMOTION_WORD')]})"
can't believe how much i miss vacation already.,"(""can't believe how much i miss vacation already."", {'entities': []})"
i totally adore my new puppy!,"('i totally adore my new puppy!', {'entities': [(10, 15, 'EMOTION_WORD')]})"
i'm really scared of heights tbh.,"(""i'm really scared of heights tbh."", {'entities': [(11, 17, 'EMOTION_WORD')]})"
super excited about the party tonight!,"('super excited about the party tonight!', {'entities': [(6, 13, 'EMOTION_WORD')]})"
i'm just fascinated by space stuff.,"(""i'm just fascinated by space stuff."", {'entities': [(9, 19, 'EMOTION_WORD')]})"
i'm kinda jealous of her new car.,"(""i'm kinda jealous of her new car."", {'entities': [(10, 17, 'EMOTION_WORD')]})"
"i hate doing laundry, it's endless!","(""i hate doing laundry, it's endless!"", {'entities': [(2, 6, 'EMOTION_WORD')]})"
nan,"('nan', {'entities': []})"
he's annoyed with me for being late.,"(""he's annoyed with me for being late."", {'entities': []})"
my teacher worries about my grades a lot.,"('my teacher worries about my grades a lot.', {'entities': []})"
everyone misses me when i leave.,"('everyone misses me when i leave.', {'entities': []})"
he adores me and it's sweet.,"(""he adores me and it's sweet."", {'entities': []})"
i'm scaring my friends with my horror stories lol.,"(""i'm scaring my friends with my horror stories lol."", {'entities': []})"
they're excited about my upcoming visit!,"(""they're excited about my upcoming visit!"", {'entities': []})"
my brother is fascinated by my gaming skills.,"('my brother is fascinated by my gaming skills.', {'entities': []})"
she's jealous of my holiday plans.,"(""she's jealous of my holiday plans."", {'entities': []})"
he hates me for taking his last cookie lol.,"('he hates me for taking his last cookie lol.', {'entities': []})"
feeling really annoyed by that email u sent 😤,"('feeling really annoyed by that email u sent 😤', {'entities': [(15, 22, 'EMOTION_WORD')]})"
totally bored by the lecture rn 😩,"('totally bored by the lecture rn 😩', {'entities': []})"
i was shocked by the plot twist last night! 😱,"('i was shocked by the plot twist last night! 😱', {'entities': [(6, 13, 'EMOTION_WORD')]})"
that loud music is starting to annoy me 😒,"('that loud music is starting to annoy me 😒', {'entities': [(31, 36, 'EMOTION_WORD')]})"
i'm so confused by the new app update 🤯,"(""i'm so confused by the new app update 🤯"", {'entities': []})"
was genuinely touched by your message ❤️,"('was genuinely touched by your message ❤️', {'entities': [(14, 21, 'EMOTION_WORD')]})"
i'm scared by the noise outside 😨,"(""i'm scared by the noise outside 😨"", {'entities': [(4, 10, 'EMOTION_WORD')]})"
i got fascinated by the documentary last night 📺,"('i got fascinated by the documentary last night 📺', {'entities': [(6, 16, 'EMOTION_WORD')]})"
"honestly, just hurt by your words 😢","('honestly, just hurt by your words 😢', {'entities': [(15, 19, 'EMOTION_WORD')]})"
she really admires my work.,"('she really admires my work.', {'entities': []})"
still amused by that meme you shared 😂,"('still amused by that meme you shared 😂', {'entities': [(6, 12, 'EMOTION_WORD')]})"
nan,"('nan', {'entities': []})"
i'm gonna surprise you with a visit soon 🤗,"(""i'm gonna surprise you with a visit soon 🤗"", {'entities': []})"
did i confuse you with my explanation? 🤔,"('did i confuse you with my explanation? 🤔', {'entities': []})"
hope to motivate you for the big day! 💪,"('hope to motivate you for the big day! 💪', {'entities': []})"
can't wait to shock him with the news tomorrow 😏,"(""can't wait to shock him with the news tomorrow 😏"", {'entities': []})"
trying really hard to entertain the kids at this party 🎈,"('trying really hard to entertain the kids at this party 🎈', {'entities': []})"
i seriously admire you for your hard work 🤩,"('i seriously admire you for your hard work 🤩', {'entities': [(12, 18, 'EMOTION_WORD')]})"
i hope to touch their hearts with this speech 💬,"('i hope to touch their hearts with this speech 💬', {'entities': []})"
can i amuse you with a joke? 😂,"('can i amuse you with a joke? 😂', {'entities': []})"
i want to captivate her by singing 🎤,"('i want to captivate her by singing 🎤', {'entities': []})"
i feel determined to help you out this weekend 🙌,"('i feel determined to help you out this weekend 🙌', {'entities': []})"
feeling super anxious about my therapy session later.,"('feeling super anxious about my therapy session later.', {'entities': [(14, 21, 'EMOTION_WORD')]})"
doc says the meds might help with my depression.,"('doc says the meds might help with my depression.', {'entities': []})"
weekly therapy's been a game changer for my anxiety.,"(""weekly therapy's been a game changer for my anxiety."", {'entities': []})"
feeling depressed even after starting the antidepressants.,"('feeling depressed even after starting the antidepressants.', {'entities': []})"
my psychiatrist increased my meds for anxiety today.,"('my psychiatrist increased my meds for anxiety today.', {'entities': []})"
anxiety group therapy has been surprisingly helpful.,"('anxiety group therapy has been surprisingly helpful.', {'entities': []})"
"finally got my depression diagnosis, time to heal.","('finally got my depression diagnosis, time to heal.', {'entities': []})"
going through cbt for my anxious thoughts rn.,"('going through cbt for my anxious thoughts rn.', {'entities': []})"
feeling less anxious since i started mindfulness exercises.,"('feeling less anxious since i started mindfulness exercises.', {'entities': [(13, 20, 'EMOTION_WORD')]})"
my depression symptoms seem to improve with new meds.,"('my depression symptoms seem to improve with new meds.', {'entities': []})"
feeling anxious before the big meeting today.,"('feeling anxious before the big meeting today.', {'entities': [(8, 15, 'EMOTION_WORD')]})"
kinda depressed about the weather lately.,"('kinda depressed about the weather lately.', {'entities': [(6, 15, 'EMOTION_WORD')]})"
got that anxious feeling before the exam again.,"('got that anxious feeling before the exam again.', {'entities': [(9, 16, 'EMOTION_WORD')]})"
felt depressed after watching that sad movie.,"('felt depressed after watching that sad movie.', {'entities': [(5, 14, 'EMOTION_WORD')]})"
"anxiously waiting for the concert to start, can't wait!","(""anxiously waiting for the concert to start, can't wait!"", {'entities': [(0, 9, 'EMOTION_WORD')]})"
feeling depressed now that the show's over.,"(""feeling depressed now that the show's over."", {'entities': [(8, 17, 'EMOTION_WORD')]})"
"i get anxious in crowds sometimes, you too?","('i get anxious in crowds sometimes, you too?', {'entities': [(6, 13, 'EMOTION_WORD')]})"
"could be depressed or just tired, not sure.","('could be depressed or just tired, not sure.', {'entities': []})"
"anxious for no reason, do you get it too?","('anxious for no reason, do you get it too?', {'entities': [(0, 7, 'EMOTION_WORD')]})"
"my vibe is a bit depressed today, not sure why.","('my vibe is a bit depressed today, not sure why.', {'entities': [(17, 26, 'EMOTION_WORD')]})"
love it when i feel totally at peace; there's nothing like it!,"(""love it when i feel totally at peace; there's nothing like it!"", {'entities': []})"
hate how anger creeps up on me sometimes; it just takes over.,"('hate how anger creeps up on me sometimes; it just takes over.', {'entities': [(9, 14, 'EMOTION_WORD')]})"
adore those moments when happiness just bubbles up unexpectedly.,"('adore those moments when happiness just bubbles up unexpectedly.', {'entities': [(25, 34, 'EMOTION_WORD')]})"
can't stand when anxiety hits; makes my heart race.,"(""can't stand when anxiety hits; makes my heart race."", {'entities': [(17, 24, 'EMOTION_WORD')]})"
enjoy feeling completely chill and relaxed after a long day.,"('enjoy feeling completely chill and relaxed after a long day.', {'entities': [(25, 30, 'EMOTION_WORD'), (35, 42, 'EMOTION_WORD')]})"
totally love hanging out with you; you make everything better.,"('totally love hanging out with you; you make everything better.', {'entities': [(8, 12, 'EMOTION_WORD')]})"
i hate this song; it's so annoying.,"(""i hate this song; it's so annoying."", {'entities': [(2, 6, 'EMOTION_WORD'), (26, 34, 'EMOTION_WORD')]})"
